epoch,train_loss,val_loss,val_acc,val_f1,duration_sec
1,1.7576848398084226,2.5602192909289627,0.02564102564102564,0.008333333333333333,14.93512487411499
2,2.1381829295839583,2.5809152859907885,0.20512820512820512,0.0606060606060606,15.06449031829834
3,2.122715102242572,2.576905843539116,0.41025641025641024,0.09696969696969698,15.438666343688965
4,1.9859264769724436,2.4807023329612536,0.07692307692307693,0.04347826086956521,15.812241315841675
5,1.8204224205442838,2.468701130304581,0.10256410256410256,0.04938271604938271,15.426859617233276
6,1.5478152526276452,2.38753879070282,0.10256410256410256,0.04597701149425287,15.305780410766602
7,1.727376788854599,2.6331663712477074,0.05128205128205128,0.03174603174603175,15.28809666633606
8,1.6839950223054205,2.508287571943723,0.10256410256410256,0.05333333333333334,15.262943267822266
9,1.6421101077326707,2.5650992347643924,0.07692307692307693,0.041666666666666664,15.261876583099365
10,1.7575871220656805,2.545160472393036,0.20512820512820512,0.11904761904761903,15.258718252182007
11,1.6361984716994422,2.4333446667744565,0.0,0.0,15.24728798866272
12,1.6826723047665186,2.2533804713151393,0.1794871794871795,0.05982905982905984,15.239944458007812
13,1.6279907056263514,2.536313283137786,0.2564102564102564,0.08771929824561403,15.248632669448853
14,1.566341652401856,2.59151662618686,0.10256410256410256,0.06041666666666667,15.239558458328247
15,1.4059732013515063,2.4312990323091164,0.3076923076923077,0.08695652173913045,15.482100009918213
16,1.5003134065440722,2.4799625353935437,0.28205128205128205,0.08943089430894309,15.218591451644897
17,1.6798540321843964,2.4430941496139917,0.1282051282051282,0.07294117647058823,15.189363479614258
18,1.4102384245821409,2.4961944879629674,0.0,0.0,15.190690994262695
19,1.6382638993007796,2.5434147776701512,0.3076923076923077,0.13903743315508021,15.256741285324097
20,1.6586217731237411,2.5258509944646788,0.1282051282051282,0.06790123456790123,15.188901424407959
21,1.6704925681863512,2.485724455271012,0.10256410256410256,0.06842105263157895,15.176514625549316
22,1.5700543597340584,2.3944614926973977,0.28205128205128205,0.1306939123031077,15.169623136520386
23,1.8114729108554977,2.398787941688146,0.3333333333333333,0.08843537414965985,15.178603410720825
24,1.516191384622029,2.44424886122728,0.05128205128205128,0.03333333333333333,15.307111978530884
25,1.6088744806391853,2.4561014893727426,0.358974358974359,0.09523809523809523,15.176357746124268
26,1.5832964777946472,2.3614248098471227,0.3076923076923077,0.08510638297872337,15.389467716217041
27,1.6089083211762565,2.324853923076238,0.15384615384615385,0.08641975308641975,15.158111333847046
28,1.5114113784262113,2.4899436892607274,0.02564102564102564,0.015873015873015872,15.171949625015259
29,1.5023134244339806,2.4384289918801723,0.02564102564102564,0.009803921568627453,15.198764324188232
30,1.5503440627029963,2.4545565048853555,0.05128205128205128,0.031746031746031744,15.19685983657837
31,1.3160143420100212,2.341242259893662,0.05128205128205128,0.030303030303030304,15.169771909713745
32,1.4708224024091447,2.377659330001244,0.05128205128205128,0.03333333333333333,15.148499488830566
33,1.3304523602128029,2.404750006321149,0.05128205128205128,0.028985507246376812,15.150858640670776
34,1.438330637557166,2.4370600840984245,0.07692307692307693,0.04545454545454545,15.156822919845581
35,1.6368404807788985,2.44621588022281,0.07692307692307693,0.04545454545454545,15.152225017547607
36,1.5824502089193888,2.4860117863386106,0.10256410256410256,0.05128205128205129,15.154264688491821
37,1.582562422113759,2.4580303843204794,0.07692307692307693,0.037037037037037035,15.154592275619507
38,1.3406155428716116,2.484863822276776,0.20512820512820512,0.0860215053763441,15.158442497253418
39,1.5603424949305398,2.37908028333615,0.20512820512820512,0.07207207207207207,15.153676986694336
40,1.4418946440730775,2.4172055232219205,0.1794871794871795,0.06862745098039216,15.172166109085083
41,1.3921304877315248,2.371588416588612,0.1282051282051282,0.053763440860215055,15.19574522972107
42,1.677663406091077,2.3702649153195896,0.10256410256410256,0.04761904761904762,15.188187599182129
43,1.2849058977195196,2.4127139311570387,0.10256410256410256,0.04761904761904762,15.17471957206726
44,1.511170813015529,2.436097279573098,0.10256410256410256,0.04938271604938271,15.173039197921753
45,1.616259980414595,2.4232156735200148,0.10256410256410256,0.05333333333333334,15.171062707901001
46,1.5513164033847195,2.4084767454709763,0.07692307692307693,0.037037037037037035,15.175402879714966
47,1.5392610994832856,2.4346744372294498,0.10256410256410256,0.04761904761904762,15.163936853408813
48,1.60453029189791,2.4518011120649486,0.10256410256410256,0.05333333333333334,15.162290334701538
49,1.3652313660298074,2.449776080938486,0.10256410256410256,0.044444444444444446,15.174055337905884
50,1.441873227911336,2.450117031733195,0.15384615384615385,0.0625,15.159912347793579
